# LSTM+CNN FFT Tahmin Sonuçları
# Model: Genişletilmiş (seq96)
# Sequence Length: 96


## apo_yukarı.csv
Satır sayısı: 215744
Tahmin sayısı: 1685
Dağılım: {'yukarı': 1685}
Ortalama güven: 99.4%

Detaylı tahminler:
  87392: yukarı     (99.6%)
  87520: yukarı     (99.6%)
  87648: yukarı     (94.3%)
  87776: yukarı     (94.3%)
  87904: yukarı     (94.3%)
  88032: yukarı     (94.3%)
  88160: yukarı     (99.7%)
  88288: yukarı     (99.7%)
  88416: yukarı     (99.7%)
  88544: yukarı     (99.7%)
  88672: yukarı     (99.1%)
  88800: yukarı     (99.1%)
  88928: yukarı     (99.1%)
  89056: yukarı     (99.1%)
  89184: yukarı     (98.3%)
  89312: yukarı     (98.3%)
  89440: yukarı     (98.3%)
  89568: yukarı     (98.3%)
  89696: yukarı     (100.0%)
  89824: yukarı     (100.0%)
  89952: yukarı     (100.0%)
  90080: yukarı     (100.0%)
  90208: yukarı     (100.0%)
  90336: yukarı     (100.0%)
  90464: yukarı     (100.0%)
  90592: yukarı     (100.0%)
  90720: yukarı     (100.0%)
  90848: yukarı     (100.0%)
  90976: yukarı     (100.0%)
  91104: yukarı     (100.0%)
  91232: yukarı     (99.6%)
  91360: yukarı     (99.6%)
  91488: yukarı     (99.6%)
  91616: yukarı     (99.6%)
  91744: yukarı     (99.9%)
  91872: yukarı     (99.9%)
  92000: yukarı     (99.9%)
  92128: yukarı     (99.9%)
  92256: yukarı     (99.9%)
  92384: yukarı     (99.9%)
  92512: yukarı     (99.9%)
  92640: yukarı     (99.9%)
  92768: yukarı     (99.9%)
  92896: yukarı     (99.9%)
  93024: yukarı     (99.9%)
  93152: yukarı     (99.9%)
  93280: yukarı     (99.9%)
  93408: yukarı     (99.9%)
  93536: yukarı     (99.9%)
  93664: yukarı     (99.9%)
  93792: yukarı     (99.8%)
  93920: yukarı     (99.8%)
  94048: yukarı     (99.8%)
  94176: yukarı     (99.8%)
  94304: yukarı     (99.8%)
  94432: yukarı     (99.8%)
  94560: yukarı     (99.8%)
  94688: yukarı     (99.8%)
  94816: yukarı     (100.0%)
  94944: yukarı     (100.0%)
  95072: yukarı     (100.0%)
  95200: yukarı     (100.0%)
  95328: yukarı     (99.5%)
  95456: yukarı     (99.5%)
  95584: yukarı     (99.5%)
  95712: yukarı     (99.5%)
  95840: yukarı     (100.0%)
  95968: yukarı     (100.0%)
  96096: yukarı     (100.0%)
  96224: yukarı     (100.0%)
  96352: yukarı     (100.0%)
  96480: yukarı     (100.0%)
  96608: yukarı     (100.0%)
  96736: yukarı     (100.0%)
  96864: yukarı     (99.5%)
  96992: yukarı     (99.5%)
  97120: yukarı     (99.5%)
  97248: yukarı     (99.5%)
